Date,msft,google,meta,tesla
16-07-2024,449.519989,185.5,489.7900085,256.5599976
17-07-2024,443.519989,182.6199951,461.9899902,248.5
18-07-2024,440.3699951,179.2200012,475.8500061,249.2299957
19-07-2024,437.1099854,179.3899994,476.7900085,239.1999969
22-07-2024,442.9400024,183.3500061,487.3999939,251.5099945
23-07-2024,444.8500061,183.6000061,488.6900024,246.3800049
24-07-2024,428.8999939,174.3699951,461.269989,215.9900055
25-07-2024,418.3999939,169.1600037,453.4100037,220.25
26-07-2024,425.269989,168.6799927,465.7000122,219.8000031
29-07-2024,426.730011,171.1300049,465.7099915,232.1000061
30-07-2024,422.9200134,171.8600006,463.1900024,222.6199951
31-07-2024,418.3500061,173.1499939,474.8299866,232.0700073
01-08-2024,417.1099854,172.4499969,497.7399902,216.8600006
02-08-2024,408.4899902,168.3999939,488.1400146,207.6699982
05-08-2024,395.1499939,160.6399994,475.730011,198.8800049
06-08-2024,399.6099854,160.5399933,494.0899963,200.6399994
07-08-2024,398.4299927,160.75,488.9200134,191.7599945
08-08-2024,402.6900024,163.8399963,509.6300049,198.8399963
09-08-2024,406.019989,165.3899994,517.7700195,200
12-08-2024,406.8099976,163.9499969,515.9500122,197.4900055
13-08-2024,414.0100098,165.9299927,528.539978,207.8300018
14-08-2024,416.8599854,162.0299988,526.7600098,201.3800049
15-08-2024,421.0299988,163.1699982,537.3300171,214.1399994
16-08-2024,418.4700012,164.7400055,527.4199829,216.1199951
19-08-2024,421.5299988,168.3999939,529.2800293,222.7200012
20-08-2024,424.7999878,168.9600067,526.7299805,221.1000061
21-08-2024,424.1400146,167.6300049,535.1599731,223.2700043
22-08-2024,415.5499878,165.4900055,531.9299927,210.6600037
23-08-2024,416.7900085,167.4299927,528,220.3200073
26-08-2024,413.4899902,167.9299927,521.1199951,213.2100067
27-08-2024,413.8399963,166.3800049,519.0999756,209.2100067
28-08-2024,410.6000061,164.5,516.7800293,205.75
29-08-2024,413.1199951,163.3999939,518.2199707,206.2799988
30-08-2024,417.1400146,165.1100006,521.3099976,214.1100006
03-09-2024,409.4400024,158.6100006,511.7600098,210.6000061
04-09-2024,408.8999939,157.8099976,512.7399902,219.4100037
05-09-2024,408.3900146,158.6000061,516.8599854,230.1699982
06-09-2024,401.7000122,152.1300049,500.269989,210.7299957
09-09-2024,405.7200012,149.5399933,504.7900085,216.2700043
10-09-2024,414.2000122,150.0099945,504.7900085,226.1699982
11-09-2024,423.0400085,152.1499939,511.8299866,228.1300049
12-09-2024,427,155.5399933,525.5999756,229.8099976
13-09-2024,430.5899963,158.3699951,524.6199951,230.2899933
16-09-2024,431.3399963,158.9900055,533.2800293,226.7799988
17-09-2024,435.1499939,160.2799988,536.3200073,227.8699951
18-09-2024,430.8099976,160.8099976,537.9500122,227.1999969
19-09-2024,438.6900024,163.2400055,559.0999756,243.9199982
20-09-2024,435.269989,164.6399994,561.3499756,238.25
23-09-2024,433.5100098,163.0700073,564.4099731,250
24-09-2024,429.1700134,163.6399994,563.3300171,254.2700043
25-09-2024,432.1099854,162.9900055,568.3099976,257.019989
26-09-2024,431.3099976,163.8300018,567.8400269,254.2200012
27-09-2024,428.019989,165.2899933,567.3599854,260.4599915
30-09-2024,430.2999878,167.1900024,572.4400024,261.6300049
01-10-2024,420.6900024,168.4199982,576.4699707,258.019989
02-10-2024,417.1300049,167.3099976,572.8099976,249.0200043
03-10-2024,416.5400085,167.2100067,582.7700195,240.6600037
04-10-2024,416.0599976,168.5599976,595.9400024,250.0800018
07-10-2024,409.5400085,164.3899994,584.7800293,240.8300018
08-10-2024,414.7099915,165.6999969,592.8900146,244.5
09-10-2024,417.4599915,163.0599976,590.5100098,241.0500031
10-10-2024,415.8399963,163.1799927,583.8300171,238.7700043
11-10-2024,416.3200073,164.5200043,589.9500122,217.8000031
14-10-2024,419.1400146,166.3500061,590.4199829,219.1600037
15-10-2024,418.7399902,166.8999939,586.2700195,219.5700073
16-10-2024,416.1199951,166.7400055,576.789978,221.3300018
17-10-2024,416.7200012,164.5099945,576.9299927,220.8899994
18-10-2024,418.1600037,165.0500031,576.4699707,220.6999969
21-10-2024,418.7799988,165.8000031,575.1599731,218.8500061
22-10-2024,427.5100098,166.8200073,582.0100098,217.9700012
23-10-2024,424.6000061,164.4799957,563.6900024,213.6499939
24-10-2024,424.730011,164.5299988,567.7800293,260.480011
25-10-2024,428.1499939,166.9900055,573.25,269.1900024
28-10-2024,426.5899963,168.3399963,578.1599731,262.5100098
29-10-2024,431.9500122,171.1399994,593.2800293,259.519989
30-10-2024,432.5299988,176.1399994,591.7999878,257.5499878
31-10-2024,406.3500061,172.6900024,567.5800171,249.8500061
01-11-2024,410.3699951,172.6499939,567.1599731,248.9799957
04-11-2024,408.4599915,170.6799927,560.6799927,242.8399963
05-11-2024,411.4599915,171.4100037,572.4299927,251.4400024
06-11-2024,420.1799927,178.3300018,572.0499878,288.5299988
07-11-2024,425.4299927,182.2799988,591.7000122,296.9100037
08-11-2024,422.5400085,179.8600006,589.3400269,321.2200012
11-11-2024,418.0100098,181.9700012,583.1699829,350
12-11-2024,423.0299988,183.3200073,584.8200073,328.4899902
13-11-2024,425.2000122,180.4900055,580,330.2399902
14-11-2024,426.8900146,177.3500061,577.1599731,311.1799927
15-11-2024,415,173.8899994,554.0800171,320.7200012
18-11-2024,415.7600098,176.8000031,554.4000244,338.7399902
19-11-2024,417.7900085,179.5800018,561.0900269,346
20-11-2024,415.4899902,177.3300018,565.5200195,342.0299988
21-11-2024,412.8699951,169.2400055,563.0900269,339.6400146
22-11-2024,417,166.5700073,559.1400146,352.5599976
25-11-2024,418.7900085,169.4299927,565.1099854,338.5899963
26-11-2024,427.9899902,170.6199951,573.539978,338.230011
27-11-2024,422.9899902,170.8200073,569.2000122,332.8900146
29-11-2024,423.4599915,170.4900055,574.3200073,345.1600037
02-12-2024,430.980011,172.9799957,592.8300171,357.0899963
03-12-2024,431.2000122,173.0200043,613.6500244,351.4200134
04-12-2024,437.4200134,176.0899963,613.7800293,357.9299927
05-12-2024,442.6199951,174.3099976,608.9299927,369.4899902
